Standardized 2D Ultrasound Sequences for Fetal Cardiac Screening: A Platform for AI Integration.	10.1111/echo.70422
PET/CT-based 3D multi-class semantic segmentation of ovarian cancer and the stability of the extracted radiomics features.	10.1007/s13246-024-01485-y
Cervical length evolution in pregnancy and prediction of preterm delivery.	10.1007/s00404-024-07745-2
Generative AI in orthopedics: an explainable deep few-shot image augmentation pipeline for plain knee radiographs and Kellgren-Lawrence grading.	10.1093/jamia/ocae246
Identification of macrotrabecular-massive hepatocellular carcinoma through multiphasic CT-based representation learning method.	10.1002/mp.17401
Enhanced Osteoporosis Detection Using Artificial Intelligence: A Deep Learning Approach to Panoramic Radiographs with an Emphasis on the Mental Foramen.	10.3390/medsci12030049
Computational imaging for rapid detection of grade-I cerebral small vessel disease (cSVD).	10.1016/j.heliyon.2024.e37743
Multi-modality artificial intelligence-based transthyretin amyloid cardiomyopathy detection in patients with severe aortic stenosis.	10.1007/s00259-024-06922-4
Attention-enhanced multiscale feature fusion network for pancreas and tumor segmentation.	10.1002/mp.17385
LRE-MMF: A novel multi-modal fusion algorithm for detecting neurodegeneration in Parkinson's disease among the geriatric population.	10.1016/j.exger.2024.112585
Trunk-to-leg volume and appendicular lean mass from a commercial 3-dimensional optical body scanner for disease risk identification.	10.1016/j.clnu.2024.09.028
A Meta-Learning Approach for Classifying Multimodal Retinal Images of Retinal Vein Occlusion With Limited Data.	10.1167/tvst.13.9.22
GC-WIR : 3D global coordinate attention wide inverted ResNet network for pulmonary nodules classification.	10.1186/s12890-024-03272-7
Glymphatic System in Preterm Neonates: Developmental Insights Following Birth Asphyxia.	10.1002/jmri.29615
A physics-informed deep learning framework for dynamic susceptibility contrast perfusion MRI.	10.1002/mp.17415
Atlas-Based Structural Disconnectomes Are Associated with Cognitive Performance in Brain Tumors.	10.1089/brain.2024.0028
Automated deep learning segmentation of high-resolution 7 Tesla postmortem MRI for quantitative analysis of structure-pathology correlations in neurodegenerative diseases.	10.1162/imag_a_00171
Placental T2-weighted MRI-based radiomics-clinical nomogram to predict postpartum hemorrhage of placenta previa.	10.1177/02841851241275034
Structure-Aware Brain Tissue Segmentation for Isointense Infant MRI Data Using Multi-Phase Multi-Scale Assistance Network.	10.1109/JBHI.2024.3452310
LIT-Unet: a lightweight and effective model for medical image segmentation.	10.1007/s12194-024-00844-4
Automated gall bladder cancer detection using artificial gorilla troops optimizer with transfer learning on ultrasound images.	10.1038/s41598-024-72880-4
Role of dorsal striatum circuits in relapse to opioid seeking after voluntary abstinence.	10.1038/s41386-024-01990-4
Learning to reconstruct accelerated MRI through K-space cold diffusion without noise.	10.1038/s41598-024-72820-2
3D whole body preclinical micro-CT database of subcutaneous tumors in mice with annotations from 3 annotators.	10.1038/s41597-024-03814-y
Automated abdominal organ segmentation algorithms for non-enhanced CT for volumetry and 3D radiomics analysis.	10.1007/s00261-024-04581-5
A Self-Supervised Equivariant Refinement Classification Network for Diabetic Retinopathy Classification.	10.1007/s10278-024-01270-z
Children Are Not Small Adults: Addressing Limited Generalizability of an Adult Deep Learning CT Organ Segmentation Model to the Pediatric Population.	10.1007/s10278-024-01273-w
AI-based lumbar central canal stenosis classification on sagittal MR images is comparable to experienced radiologists using axial images.	10.1007/s00330-024-11080-0
Towards a fully automatic workflow for investigating the dynamics of lung cancer cachexia during radiotherapy using cone beam computed tomography.	10.1088/1361-6560/ad7d5b
Assessing the Performance of Models from the 2022 RSNA Cervical Spine Fracture Detection Competition at a Level I Trauma Center.	10.1148/ryai.230550
SARS-CoV2 pneumonia patients admitted to the ICU: Analysis according to clinical and biological parameters and the extent of lung parenchymal lesions on chest CT scan, a monocentric observational study.	10.1371/journal.pone.0308014
A Vision Language Correlation Framework for Screening Disabled Retina.	10.1109/JBHI.2024.3462653
Pseudo-CT synthesis in adaptive radiotherapy based on a stacked coarse-to-fine model: Combing diffusion process and spatial-frequency convolutions.	10.1002/mp.17402
Age-related changes of node degree in the multiple-demand network predict fluid intelligence.	10.1016/j.ibneur.2024.06.005
Deep learning-based ultrasonographic classification of canine chronic kidney disease.	10.3389/fvets.2024.1443234
Automated Deep Learning-Based Finger Joint Segmentation in 3-D Ultrasound Images With Limited Dataset.	10.1177/01617346241277178
Human lung cancer classification and comprehensive analysis using different machine learning techniques.	10.1002/jemt.24682
Prediction of individual performance and verbal intelligence scores from resting-state fMRI in children and adolescents.	10.1002/jdn.10375
DentAge: Deep learning for automated age prediction using panoramic dental X-ray images.	10.1111/1556-4029.15629
Intra-Individual Reproducibility of Automated Abdominal Organ Segmentation-Performance of TotalSegmentator Compared to Human Readers and an Independent nnU-Net Model.	10.1007/s10278-024-01265-w
Leukemia detection and classification using computer-aided diagnosis system with falcon optimization algorithm and deep learning.	10.1038/s41598-024-72900-3
AMD-SD: An Optical Coherence Tomography Image Dataset for wet AMD Lesions Segmentation.	10.1038/s41597-024-03844-6
EEG electrodes and where to find them: automated localization from 3D scans.	10.1088/1741-2552/ad7c7e
Optimizing graph neural network architectures for schizophrenia spectrum disorder prediction using evolutionary algorithms.	10.1016/j.cmpb.2024.108419
Gastrointestinal image stitching based on improved unsupervised algorithm.	10.1371/journal.pone.0310214
Rapid CNN-based needle localization for automatic slice alignment in MR-guided interventions using 3D undersampled radial white-marker imaging.	10.1002/mp.17376
Automated diagnosis of atherosclerosis using multi-layer ensemble models and bio-inspired optimization in intravascular ultrasound imaging.	10.1007/s11517-024-03190-0
A probability model for estimating age in young individuals relative to key legal thresholds: 15, 18 or 21-year.	10.1007/s00414-024-03324-x
Deep learning-based prediction of the dose-volume histograms for volumetric modulated arc therapy of left-sided breast cancer.	10.1002/mp.17410
Cerebrovascular and Alzheimer's disease biomarkers in dementia with Lewy bodies and other dementias.	10.1093/braincomms/fcae290
PoLambRimetry: a multispectral polarimetric atlas of lamb brain.	10.1117/1.JBO.29.9.096002
Reslice3Dto2D: Introduction of a software tool to reformat 3D volumes into reference 2D slices in cardiovascular magnetic resonance imaging.	10.1186/s13104-024-06931-4
Data-driven risk stratification and precision management of pulmonary nodules detected on chest computed tomography.	10.1038/s41591-024-03211-3
Longitudinal deep neural networks for assessing metastatic brain cancer on a large open benchmark.	10.1038/s41467-024-52414-2
Integrating neural networks with advanced optimization techniques for accurate kidney disease diagnosis.	10.1038/s41598-024-71410-6
A Cross Spatio-Temporal Pathology-based Lung Nodule Dataset.	10.1038/s41597-024-03851-7
Artificial intelligence methods in diagnosis of retinoblastoma based on fundus imaging: a systematic review and meta-analysis.	10.1007/s00417-024-06643-2
Deep learning-assisted distinguishing breast phyllodes tumours from fibroadenomas based on ultrasound images: a diagnostic study.	10.1093/bjr/tqae147
A Novel Framework for Tongue Feature Extraction Framework Based on Sublingual Vein Segmentation.	10.1109/TNB.2024.3462461
The prognostic utility of <sup>18</sup>F-FDG PET parameters in lymphoma patients under CAR-T-cell therapy: a systematic review and meta-analysis.	10.3389/fimmu.2024.1424269
EGDP based feature extraction and deep convolutional belief network for brain tumor detection using MRI image.	10.1080/0954898X.2024.2389248
Retrospective motion correction for cardiac multi-parametric mapping with dictionary matching-based image synthesis and a low-rank constraint.	10.1002/mrm.30291
Neural network reconstruction of the left atrium using sparse catheter paths.	10.1007/s11548-024-03268-y
Multimodal registration network with multi-scale feature-crossing.	10.1007/s11548-024-03258-0
Assessment of Age-Related Differences in Lower Leg Muscles Quality Using Radiomic Features of Magnetic Resonance Images.	10.1007/s10278-024-01268-7
Neuroanatomical changes observed over the course of a human pregnancy.	10.1038/s41593-024-01741-0
Main challenges on the curation of large scale datasets for pancreas segmentation using deep learning in multi-phase CT scans: Focus on cardinality, manual refinement, and annotation quality.	10.1016/j.compmedimag.2024.102434
Med-Query: Steerable Parsing of 9-DoF Medical Anatomies With Query Embedding.	10.1109/JBHI.2024.3461951
Pre- and post-skeletal muscle biopsy quantitative magnetic resonance imaging reveals correlations with histopathological findings.	10.1111/ene.16479
Deep learning model based on primary tumor to predict lymph node status in clinical stage IA lung adenocarcinoma: a multicenter study.	10.1016/j.jncc.2024.01.005
An efficient brain tumor detection and classification using pre-trained convolutional neural network models.	10.1016/j.heliyon.2024.e36773
Enhancing intracranial efficacy prediction of osimertinib in non-small cell lung cancer: a novel approach through brain MRI radiomics.	10.3389/fneur.2024.1399983
A brain structure learning-guided multi-view graph representation learning for brain network analysis.	10.21037/qims-24-578
Boundary-aware convolutional attention network for liver segmentation in ultrasound images.	10.1038/s41598-024-70527-y
Machine learning with multiple modalities of brain magnetic resonance imaging data to identify the presence of bipolar disorder.	10.1016/j.jad.2024.09.025
CT perfusion parameter estimation in stroke using neural network with transformer and physical model priors.	10.1016/j.compbiomed.2024.109134
Prediction of fetal brain gestational age using multihead attention with Xception.	10.1016/j.compbiomed.2024.109155
Predicting the T790M mutation in non-small cell lung cancer (NSCLC) using brain metastasis MR radiomics: a study with an imbalanced dataset.	10.1007/s12672-024-01333-1
Discordance between peritumoral and subareolar injections for mapping sentinel lymph nodes in the breast.	10.1007/s10549-024-07491-8
Machine Learning-Based Prediction of Chronic Shunt-Dependent Hydrocephalus After Spontaneous Subarachnoid Hemorrhage.	10.1016/j.wneu.2024.09.047
Towards explainable oral cancer recognition: Screening on imperfect images via Informed Deep Learning and Case-Based Reasoning.	10.1016/j.compmedimag.2024.102433
A Multi-Scale Liver Tumor Segmentation Method Based on Residual and Hybrid Attention Enhanced Network with Contextual Integration.	10.3390/s24175845
Human-in-the-Loop-A Deep Learning Strategy in Combination with a Patient-Specific Gaussian Mixture Model Leads to the Fast Characterization of Volumetric Ground-Glass Opacity and Consolidation in the Computed Tomography Scans of COVID-19 Patients.	10.3390/jcm13175231
Enhancing Cone-Beam CT Image Quality in TIPSS Procedures Using AI Denoising.	10.3390/diagnostics14171989
Advancing Prostate Cancer Diagnosis: A Deep Learning Approach for Enhanced Detection in MRI Images.	10.3390/diagnostics14171871
Modern Approach to Diabetic Retinopathy Diagnostics.	10.3390/diagnostics14171846
Computational Methods for Image Analysis in Craniofacial Development and Disease.	10.1177/00220345241265048
3D augmentation for volumetric whole heart segmentation.	10.1038/s41598-024-72469-x
Automated biventricular quantification in patients with repaired tetralogy of Fallot using a three-dimensional deep learning segmentation model.	10.1016/j.jocmr.2024.101092
Assessment of material identification and quantification in the presence of metals using spectral photon counting CT.	10.1371/journal.pone.0308658
Inferotemporal face patches are histo-architectonically distinct.	10.1016/j.celrep.2024.114732
Structural MRI Correlates of Anosognosia in Huntington's Disease.	10.3233/JHD-240010
Inter-vendor harmonization of CT reconstruction kernels using unpaired image translation.	10.1117/12.3006608
Semi-automated analysis of HER2 immunohistochemistry in invasive breast carcinoma using whole slide images: utility for interpretation in clinical practice.	10.3389/pore.2024.1611826
DeepCGAN: early Alzheimer's detection with deep convolutional generative adversarial networks.	10.3389/fmed.2024.1443151
The value of CCTA combined with machine learning for predicting angina pectoris in the anomalous origin of the right coronary artery.	10.1186/s12938-024-01286-0
Training and validation of a deep learning U-net architecture general model for automated segmentation of inner ear from CT.	10.1186/s41747-024-00508-3
Consensus of algorithms for lesion segmentation in brain MRI studies of multiple sclerosis.	10.1038/s41598-024-72649-9
Low-dose computed tomography perceptual image quality assessment.	10.1016/j.media.2024.103343
A robust image segmentation and synthesis pipeline for histopathology.	10.1016/j.media.2024.103344
A New Method for Scoliosis Screening Incorporating Deep Learning With Back Images.	10.1177/21925682241282581
Enhancing reginal wall abnormality detection accuracy: Integrating machine learning, optical flow algorithms, and temporal convolutional networks in multi-view echocardiography.	10.1371/journal.pone.0310107
Investigating the Use of Traveltime and Reflection Tomography for Deep Learning-Based Sound-Speed Estimation in Ultrasound Computed Tomography.	10.1109/TUFFC.2024.3459391
Segmentation of supragranular and infragranular layers in ultra-high-resolution 7T ex vivo MRI of the human cerebral cortex.	10.1093/cercor/bhae362
Skeleton-guided 3D convolutional neural network for tubular structure segmentation.	10.1007/s11548-024-03215-x
Performance of artificial intelligence in detecting the chronic total occlusive lesions of coronary artery based on coronary computed tomographic angiography.	10.21037/cdt-23-407
Emerging research trends in artificial intelligence for cancer diagnostic systems: A comprehensive review.	10.1016/j.heliyon.2024.e36743
Prediction of biochemical recurrence after radical prostatectomy from primary tumour characteristics.	10.1111/bju.16482
Sex-Based Differences and Asymmetry in Hip Kinematics During Unilateral Extension From Deep Hip Flexion.	10.1115/1.4066466
Contracted functional connectivity profiles in autism.	10.1186/s13229-024-00616-2
Le Petit Prince Hong Kong (LPPHK): Naturalistic fMRI and EEG data from older Cantonese speakers.	10.1038/s41597-024-03745-8
A Novel Network for Low-Dose CT Denoising Based on Dual-Branch Structure and Multi-Scale Residual Attention.	10.1007/s10278-024-01254-z
Hematoma expansion prediction in intracerebral hemorrhage patients by using synthesized CT images in an end-to-end deep learning framework.	10.1016/j.compmedimag.2024.102430
Real-time placental vessel segmentation in fetoscopic laser surgery for Twin-to-Twin Transfusion Syndrome.	10.1016/j.media.2024.103330
Advanced image generation for cancer using diffusion models.	10.1093/biomethods/bpae062
A Comparison of Skeletal Muscle Diffusion Tensor Imaging Tractography Seeding Methods.	10.1101/2024.08.29.610343
Gait data from 51 healthy participants with motion capture, inertial measurement units, and computer vision.	10.1016/j.dib.2024.110841
Radiographic imaging and diagnosis of spinal bone tumors: AlexNet and ResNet for the classification of tumor malignancy.	10.1016/j.jbo.2024.100629
SPGAN Optimized by Piranha Foraging Optimization for Thyroid Nodule Classification in Ultrasound Images.	10.1177/01617346241271240
Multimodal Deep Learning Network for Differentiating Between Benign and Malignant Pulmonary Ground Glass Nodules.	10.2174/0115734056301741240903072017
A deep learning model for differentiating paediatric intracranial germ cell tumour subtypes and predicting survival with MRI: a multicentre prospective study.	10.1186/s12916-024-03575-w
Comorbidity-based framework for Alzheimer's disease classification using graph neural networks.	10.1038/s41598-024-72321-2
A whole-body micro-CT scan library that captures the skeletal diversity of Lake Malawi cichlid fishes.	10.1038/s41597-024-03687-1
Subject-level spinal osteoporotic fracture prediction combining deep learning vertebral outputs and limited demographic data.	10.1007/s11657-024-01433-z
Enhancing diagnosis: ensemble deep-learning model for fracture detection using X-ray images.	10.1016/j.crad.2024.08.006
Artificial intelligence and advanced MRI techniques: A comprehensive analysis of diffuse gliomas.	10.1016/j.jmir.2024.101736
Prediction of depressive symptoms severity based on sleep quality, anxiety, and gray matter volume: a generalizable machine learning approach across three datasets.	10.1016/j.ebiom.2024.105313
Automatic Segmentation of Hemorrhages in the Ultra-Wide Field Retina: Multi-Scale Attention Subtraction Networks and an Ultra-Wide Field Retinal Hemorrhage Dataset.	10.1109/JBHI.2024.3457512
Dataset factors associated with age-related changes in brain structure and function in neurodevelopmental conditions.	10.1002/hbm.26815
Development of deep learning model for diagnosing muscle-invasive bladder cancer on MRI with vision transformer.	10.1016/j.heliyon.2024.e36144
Conditional generative adversarial network-assisted system for radiation-free evaluation of scoliosis using a single smartphone photograph: a model development and validation study.	10.1016/j.eclinm.2024.102779
Deep learning for detecting prenatal alcohol exposure in pediatric brain MRI: a transfer learning approach with explainability insights.	10.3389/fncom.2024.1434421
Defining of the nasal anthropometry on facial computed tomography in subjects with epilepsy and healthy subjects.	10.1097/MD.0000000000039135
Development of the humeral head offset index for control of humeral torsion.	10.1186/s12891-024-07812-4
Training robust T1-weighted magnetic resonance imaging liver segmentation models using ensembles of datasets with different contrast protocols and liver disease etiologies.	10.1038/s41598-024-71674-y
The Aphasia Recovery Cohort, an open-source chronic stroke repository.	10.1038/s41597-024-03819-7
Accelerating segmentation of fossil CT scans through Deep Learning.	10.1038/s41598-024-71245-1
Shape matters: unsupervised exploration of IDH-wildtype glioma imaging survival predictors.	10.1007/s00330-024-11042-6
PD-ARnet: a deep learning approach for Parkinson's disease diagnosis from resting-state fMRI.	10.1088/1741-2552/ad788b
Mediation Analysis with Multiple Exposures and Multiple Mediators.	10.1002/sim.10215
Connectome-based prediction modeling of cognitive control using functional and structural connectivity.	10.1016/j.bandc.2024.106221
Precise ablation zone segmentation on CT images after liver cancer ablation using semi-automatic CNN-based segmentation.	10.1002/mp.17373
Using Multi-Layer Perceptron Driven Diagnosis to Compare Biomarkers for Primary Open Angle Glaucoma.	10.1167/iovs.65.11.16
Feasibility of deep learning algorithm in diagnosing lumbar central canal stenosis using abdominal CT.	10.1007/s00256-024-04796-z
Hyperspectral imaging with deep learning for quantification of tissue hemoglobin, melanin, and scattering.	10.1117/1.JBO.29.9.093507
Trends in Radiation at a Level I Trauma Center.	10.7759/cureus.66471
Prediction of gastrointestinal active arterial extravasation on computed tomographic angiography using multivariate clinical modeling.	10.1016/j.crad.2024.08.015
CCMNet: Cross-scale correlation-aware mapping network for 3D lung CT image registration.	10.1016/j.compbiomed.2024.109103
Mammography classification with multi-view deep learning techniques: Investigating graph and transformer-based architectures.	10.1016/j.media.2024.103320
Labeled-to-unlabeled distribution alignment for partially-supervised multi-organ medical image segmentation.	10.1016/j.media.2024.103333
Socioenvironmental Factors are Associated With Dopamine Transporter Availability in Healthy Individuals but not in Parkinson's Disease.	10.1177/08919887241281062
Automated registration-based skull stripping procedure for feline neuroimaging.	10.1016/j.neuroimage.2024.120826
MRI radiomics and biological correlations for predicting axillary lymph node burden in early-stage breast cancer.	10.1186/s12967-024-05619-4
Radiomics nomogram for predicting chemo-immunotherapy efficiency in advanced non-small cell lung cancer.	10.1038/s41598-024-63415-y
Joint segmentation of sternocleidomastoid and skeletal muscles in computed tomography images using a multiclass learning approach.	10.1007/s12194-024-00839-1
Global registration of kidneys in 3D ultrasound and CT images.	10.1007/s11548-024-03255-3
Human Tooth Crack Image Analysis with Multiple Deep Learning Approaches.	10.1007/s10439-024-03615-9
Reconstructing Spatiotemporal Trajectories of Visual Object Memories in the Human Brain.	10.1523/ENEURO.0091-24.2024
Enhanced diversity on connector hubs following sleep deprivation: Evidence from diffusion and functional magnetic resonance imaging.	10.1016/j.neuroimage.2024.120837
Economical hybrid novelty detection leveraging global aleatoric semantic uncertainty for enhanced MRI-based ACL tear diagnosis.	10.1016/j.compmedimag.2024.102424
Diagnostic accuracy of dental caries detection using ensemble techniques in deep learning with intraoral camera images.	10.1371/journal.pone.0310004
Precision meets generalization: Enhancing brain tumor classification via pretrained DenseNet with global average pooling and hyperparameter tuning.	10.1371/journal.pone.0307825
Classification of Alzheimer disease using DenseNet-201 based on deep transfer learning technique.	10.1371/journal.pone.0304995
MLVICX: Multi-Level Variance-Covariance Exploration for Chest X-Ray Self-Supervised Representation Learning.	10.1109/JBHI.2024.3455337
Multiscale unsupervised network for deformable image registration.	10.3233/XST-240159
Enhancing liver tumor segmentation with UNet-ResNet: Leveraging ResNet's power.	10.3233/THC-230931
A novel assessment of whole-mount Gleason grading in prostate cancer to identify candidates for radical prostatectomy: a machine learning-based multiomics study.	10.7150/thno.96921
Predicting the clinical prognosis of acute ischemic stroke using machine learning: an application of radiomic biomarkers on non-contrast CT after intravascular interventional treatment.	10.3389/fninf.2024.1400702
A Deep Learning Based Intelligent Decision Support System for Automatic Detection of Brain Tumor.	10.1177/11795972241277322
Detection of Diabetic Retinopathy Using Discrete Wavelet-Based Center-Symmetric Local Binary Pattern and Statistical Features.	10.1007/s10278-024-01243-2
Medial prefrontal neuroplasticity during extended-release naltrexone treatment of opioid use disorder - a longitudinal structural magnetic resonance imaging study.	10.1038/s41398-024-03061-0
Evaluating the impact of artificial intelligence-assisted image analysis on the diagnostic accuracy of front-line clinicians in detecting fractures on plain X-rays (FRACT-AI): protocol for a prospective observational study.	10.1136/bmjopen-2024-086061
Beyond pixel: Superpixel-based MRI segmentation through traditional machine learning and graph convolutional network.	10.1016/j.cmpb.2024.108398
Myo-regressor Deep Informed Neural NetwOrk (Myo-DINO) for fast MR parameters mapping in neuromuscular disorders.	10.1016/j.cmpb.2024.108399
Ultrasound attenuation imaging as a strategy for evaluation of early and late ambulatory functions in Duchenne muscular dystrophy.	10.1002/mp.17389
An Automated and Robust Tool for Musculoskeletal and Finite Element Modeling of the Knee Joint.	10.1109/TBME.2024.3438272
Lung Ultrasound Spectroscopy Applied to the Differential Diagnosis of Pulmonary Diseases: An In Vivo Multicenter Clinical Study.	10.1109/TUFFC.2024.3454956
Style Consistency Unsupervised Domain Adaptation Medical Image Segmentation.	10.1109/TIP.2024.3451934
A robust brain network for sustained attention from adolescence to adulthood that predicts later substance use.	10.7554/eLife.97150
MRI-based prediction of the need for wide resection margins in patients with single hepatocellular carcinoma.	10.1007/s00330-024-11043-5
Normative Neuroimaging Library: Designing a Comprehensive and Demographically Diverse Dataset of Healthy Controls to Support Traumatic Brain Injury Diagnostic and Therapeutic Development.	10.1089/neu.2024.0128
ChoroidSeg-ViT: A Transformer Model for Choroid Layer Segmentation Based on a Mixed Attention Feature Enhancement Mechanism.	10.1167/tvst.13.9.7
Exploring the Combination of Computer Vision and Surgical Neuroanatomy: A Workflow Involving Artificial Intelligence for the Identification of Skull Base Foramina.	10.1016/j.wneu.2024.08.137
Transfer Learning-Based Classifier to Automate the Extraction of False X-Ray Images From Hospital's Database.	10.1016/j.identj.2024.08.002
MADE-for-ASD: A multi-atlas deep ensemble network for diagnosing Autism Spectrum Disorder.	10.1016/j.compbiomed.2024.109083
On the application of hybrid deep 3D convolutional neural network algorithms for predicting the micromechanics of brain white matter.	10.1016/j.cmpb.2024.108381
Longitudinal registration of thoracic CT images with radiation-induced lung diseases: A divide-and-conquer approach based on component structure wise registration using coherent point drift.	10.1016/j.cmpb.2024.108401
Computer-aided diagnosis for lung cancer using waterwheel plant algorithm with deep learning.	10.1038/s41598-024-71551-8
A pathology foundation model for cancer diagnosis and prognosis prediction.	10.1038/s41586-024-07894-z
APIS: a paired CT-MRI dataset for ischemic stroke segmentation - methods and challenges.	10.1038/s41598-024-71273-x
Differences in Topography of Individual Amyloid Brain Networks by Amyloid PET Images in Healthy Control, Mild Cognitive Impairment, and Alzheimer's Disease.	10.1007/s10278-024-01230-7
Feature-Based vs. Deep-Learning Fusion Methods for the In Vivo Detection of Radiation Dermatitis Using Optical Coherence Tomography, a Feasibility Study.	10.1007/s10278-024-01241-4
Brain tumor detection and segmentation using deep learning.	10.1007/s10334-024-01203-5
Generating synthetic high-resolution spinal STIR and T1w images from T2w FSE and low-resolution axial Dixon.	10.1007/s00330-024-11047-1
Long-term Major Adverse Cardiac Event Prediction by Computed Tomography-derived Plaque Measures and Clinical Parameters Using Machine Learning.	10.2169/internalmedicine.3566-24
Non-invasive multimodal CT deep learning biomarker to predict pathological complete response of non-small cell lung cancer following neoadjuvant immunochemotherapy: a multicenter study.	10.1136/jitc-2024-009348
The impact of deep learning on diagnostic performance in the differentiation of benign and malignant thyroid nodules.	10.11152/mu-4432
Low-Dose CT Image Super-Resolution With Noise Suppression Based on Prior Degradation Estimator and Self-Guidance Mechanism.	10.1109/TMI.2024.3454268
The accuracy of deep learning models for diagnosing maxillary fungal ball rhinosinusitis.	10.1007/s00405-024-08948-8
Development and Assessment of a Predictive Model for Ki-67 Expression Using Ultrasound Indicators and Non-Morphological Magnetic Resonance Imaging Parameters Before Breast Cancer Therapy.	10.1177/01617346241271107
Detecting pediatric appendicular fractures using artificial intelligence.	10.1590/1806-9282.20240523
Alzheimer's disease genetic risk and changes in brain atrophy and white matter hyperintensities in cognitively unimpaired adults.	10.1093/braincomms/fcae276
StAC-DA: Structure aware cross-modality domain adaptation framework with image and feature-level adaptation for medical image segmentation.	10.1177/20552076241277440
Proteomic analysis of serum small extracellular vesicles identifies diagnostic biomarkers for neuroblastoma.	10.3389/fonc.2024.1367159
Precision lung cancer screening from CT scans using a VGG16-based convolutional neural network.	10.3389/fonc.2024.1424546
Automatic Diagnosis of Hepatocellular Carcinoma and Metastases Based on Computed Tomography Images.	10.1007/s10278-024-01192-w
Automated condylar seating assessment using a deep learning-based three-step approach.	10.1007/s00784-024-05895-w
Predicting the Progression of Mild Cognitive Impairment to Alzheimer's Dementia Using Recurrent Neural Networks With a Series of Neuropsychological Tests.	10.3988/jcn.2023.0289
Comparative efficacy of subcutaneous versus intravenous natalizumab on annualized relapse rate: A post-hoc analysis of the REFINE study.	10.1016/j.msard.2024.105852
Cascaded Multi-path Shortcut Diffusion Model for Medical Image Translation.	10.1016/j.media.2024.103300
A Multi-Task Transformer With Local-Global Feature Interaction and Multiple Tumoral Region Guidance for Breast Cancer Diagnosis.	10.1109/JBHI.2024.3454000
Foundation model-driven distributed learning for enhanced retinal age prediction.	10.1093/jamia/ocae220
Multi-scale anatomical regularization for domain-adaptive segmentation of pelvic CBCT images.	10.1002/mp.17378
Rest Tremor in Parkinson's Disease Is Associated with Ipsilateral Striatal Dopamine Transporter Binding.	10.1002/mds.29997
Bone metastasis scintigram generation using generative adversarial learning with multi-receptive field learning and two-stage training.	10.1002/mp.17368
Evaluation of the prostate cancer and its metastases in the [ 68 Ga]Ga-PSMA PET/CT images: deep learning method vs. conventional PET/CT processing.	10.1097/MNM.0000000000001891
Automatic detection and segmentation of lesions in 18 F-FDG PET/CT imaging of patients with Hodgkin lymphoma using 3D dense U-Net.	10.1097/MNM.0000000000001892
Prevalence of respiratory signs in dogs with chronic gastroenteropathy in a referral population in the United Kingdom: 42 cases (2020).	10.1111/jsap.13779
Comparison of deep learning models to detect crossbites on 2D intraoral photographs.	10.1186/s13005-024-00448-8
Revolutionizing breast ultrasound diagnostics with EfficientNet-B7 and Explainable AI.	10.1186/s12880-024-01404-3
Fractional differentiation based image enhancement for automatic detection of malignant melanoma.	10.1186/s12880-024-01400-7
Cognitive subgroups of affective and non-affective psychosis show differences in medication and cortico-subcortical brain networks.	10.1038/s41598-024-71316-3
Learning co-plane attention across MRI sequences for diagnosing twelve types of knee abnormalities.	10.1038/s41467-024-51888-4
High-quality expert annotations enhance artificial intelligence model accuracy for osteosarcoma X-ray diagnosis.	10.1111/cas.16330
Deep learning for contour quality assurance for RTOG 0933: In-silico evaluation.	10.1016/j.radonc.2024.110519
Reconstruction of natural images from human fMRI using a three-stage multi-level deep fusion model.	10.1016/j.jneumeth.2024.110269
2.5D deep learning based on multi-parameter MRI to differentiate primary lung cancer pathological subtypes in patients with brain metastases.	10.1016/j.ejrad.2024.111712
A novel Skin lesion prediction and classification technique: ViT-GradCAM.	10.1111/srt.70040
Prediction of early recurrence of adult-type diffuse gliomas following radiotherapy using multi-modal magnetic resonance images.	10.1002/mp.17382
Automated MRI-based segmentation of intracranial arterial calcification by restricting feature complexity.	10.1002/mrm.30283
A practical guide for combining functional regions of interest and white matter bundles.	10.3389/fnins.2024.1385847
Learning site-invariant features of connectomes to harmonize complex network measures.	10.1117/12.3009645
Identification of functional white matter networks in BOLD fMRI.	10.1117/12.3006231
Semi-supervised CT image segmentation via contrastive learning based on entropy constraints.	10.1007/s13534-024-00387-y
Predicting axillary lymph node metastasis in breast cancer based on ultrasound radiofrequency time-series analysis.	10.1177/02841851241268463
Three contrasts in 3 min: Rapid, high-resolution, and bone-selective UTE MRI for craniofacial imaging with automated deep-learning skull segmentation.	10.1002/mrm.30275
Discrepancy-based diffusion models for lesion detection in brain MRI.	10.1016/j.compbiomed.2024.109079
VSmTrans: A hybrid paradigm integrating self-attention and convolution for 3D medical image segmentation.	10.1016/j.media.2024.103295
Transcriptional patterns of amygdala functional connectivity in first-episode, drug-naïve major depressive disorder.	10.1038/s41398-024-03062-z
Texture Feature Differentiation of Glioblastoma and Solitary Brain Metastases Based on Tumor and Tumor-brain Interface.	10.1016/j.acra.2024.08.025
White matter correlates of cognition: A diffusion magnetic resonance imaging study.	10.1016/j.bbr.2024.115222
Multimodal ischemic stroke recurrence prediction model based on the capsule neural network and support vector machine.	10.1097/MD.0000000000039217
CNN-based deep learning approach for classification of invasive ductal and metastasis types of breast carcinoma.	10.1002/cam4.70069
Deep-learning-based method for the segmentation of ureter and renal pelvis on non-enhanced CT scans.	10.1038/s41598-024-71066-2
